transaction_id,user_id,amount,timestamp,device_id,beneficiary_id,location_region,transaction_frequency,avg_amount,is_new_device,is_new_beneficiary,location_deviation,transactions_previous_hour,beneficiary_count,previous_fraud_alerts,fraud_label
TXN0001,USER_139,678.25,2025-05-29 06:05:00+00:00,DEV_37,BEN_241,EAST,6.0,695.71,0,0,0.132,3.0,5.0,0.0,0
TXN0002,USER_138,475.64,2025-02-21 15:49:00+00:00,DEV_40,BEN_187,EAST,6.0,494.0,0,0,0.068,3.0,4.0,0.0,0
TXN0003,USER_125,1267.26,2025-01-30 20:18:00+00:00,DEV_28,BEN_123,SOUTH,2.0,762.57,0,0,0.104,0.0,3.0,0.0,0
TXN0004,USER_154,938.52,2025-04-21 14:15:00+00:00,DEV_34,BEN_077,EAST,6.0,791.08,0,0,0.125,3.0,4.0,0.0,0
TXN0005,USER_153,352.51,2025-01-26 16:48:00+00:00,DEV_37,BEN_143,NORTH,6.0,357.34,0,0,0.031,3.0,1.0,0.0,0
TXN0006,USER_134,872.96,2025-06-12 20:57:00+00:00,DEV_12,BEN_207,NORTH,4.0,454.67,0,0,0.038,3.0,2.0,0.0,0
TXN0007,USER_156,927.95,2025-01-15 15:59:00+00:00,DEV_26,BEN_188,WEST,3.0,669.18,0,0,0.091,1.0,1.0,0.0,0
TXN0008,USER_111,425.58,2025-03-30 22:16:00+00:00,DEV_70,BEN_130,SOUTH,2.0,602.56,0,0,0.134,1.0,5.0,0.0,0
TXN0009,USER_133,1301.55,2025-06-20 17:35:00+00:00,DEV_78,BEN_019,EAST,6.0,647.48,0,0,0.01,3.0,1.0,0.0,0
TXN0010,USER_178,496.48,2025-04-10 19:17:00+00:00,DEV_05,BEN_068,WEST,3.0,522.04,0,0,0.068,0.0,5.0,0.0,0
TXN0011,USER_158,292.48,2025-05-26 20:11:00+00:00,DEV_58,BEN_144,WEST,3.0,781.91,0,0,0.065,2.0,5.0,0.0,0
TXN0012,USER_157,950.47,2025-03-18 17:23:00+00:00,DEV_19,BEN_097,NORTH,4.0,766.67,0,0,0.105,3.0,5.0,0.0,0
TXN0013,USER_169,353.37,2025-05-16 06:03:00+00:00,DEV_52,BEN_114,EAST,4.0,659.9,0,0,0.079,3.0,4.0,0.0,0
TXN0014,USER_148,616.84,2025-05-08 13:09:00+00:00,DEV_50,BEN_076,WEST,3.0,819.09,0,0,0.047,2.0,3.0,0.0,0
TXN0015,USER_153,1238.27,2025-04-03 08:35:00+00:00,DEV_70,BEN_019,NORTH,4.0,720.13,1,0,0.155,3.0,5.0,0.0,0
TXN0016,USER_138,285.79,2025-01-19 15:41:00+00:00,DEV_56,BEN_117,WEST,6.0,521.11,0,0,0.048,3.0,5.0,0.0,0
TXN0017,USER_166,1292.97,2025-06-24 08:16:00+00:00,DEV_66,BEN_111,EAST,5.0,705.31,0,0,0.062,3.0,5.0,0.0,0
TXN0018,USER_156,1052.89,2025-01-09 15:33:00+00:00,DEV_64,BEN_195,SOUTH,3.0,506.17,0,1,0.0,0.0,4.0,0.0,0
TXN0019,USER_141,1135.45,2025-03-06 12:45:00+00:00,DEV_52,BEN_028,WEST,2.0,781.77,0,0,0.037,0.0,4.0,0.0,0
