url,status
https://google-careers-example.xyz/internship,active
https://paypal-security-update.xyz/login,active
https://example-scam-site.com/internship,active
https://southbankmosaics.com,inactive
https://voicefmradio.co.uk,inactive
https://old-bank-verify.xyz,inactive
https://defunct-crypto-invest.com,inactive
https://legitimate-corp-spoof.net,active
https://update-account-kyc.org,active
https://secure-refund-portal.live,active
https://inactive-fake-scholarship.org,inactive
https://unauthorized-jobs-portal.co,active
